CODMES,ID,SECTOR_ECONÓMICO
201809,15474234,"Transp, Almac y Com."
201812,15474234,"Transp, Almac y Com."
201811,15474234,"Transp, Almac y Com."
201806,15475618,Comercio
201807,15475618,Comercio
201808,15475618,Comercio
201811,15475618,Comercio
201812,15475618,Comercio
201809,15475618,Comercio
201810,15475618,Comercio
201808,15480366,Comercio
201807,15480366,Comercio
201806,15480366,Comercio
201805,15480366,Comercio
201803,15480366,Comercio
201804,15480366,Comercio
201802,15480366,Comercio
201801,15480366,Comercio
201810,15480366,Comercio
201809,15480366,Comercio
201812,15480366,Comercio
201811,15480366,Comercio
201801,15489732,Comercio
201802,15489732,Comercio
201804,15489732,Comercio
201803,15489732,Comercio
201805,15489732,Comercio
201806,15489732,Comercio
201807,15489732,Comercio
201808,15489732,Comercio
201811,15489732,Comercio
201812,15489732,Comercio
201809,15489732,Comercio
201810,15489732,Comercio
201808,15490250,Comercio
201807,15490250,Comercio
201806,15490250,Comercio
201805,15490250,Comercio
201803,15490250,Comercio
201804,15490250,Comercio
201802,15490250,Comercio
201801,15490250,Comercio
201810,15490250,Comercio
201809,15490250,Comercio
201812,15490250,Comercio
201811,15490250,Comercio
201801,15490736,Comercio
201802,15490736,Comercio
201804,15490736,Comercio
201803,15490736,Comercio
201805,15490736,Comercio
201806,15490736,Comercio
201807,15490736,Comercio
201808,15490736,Comercio
201811,15490736,Comercio
201812,15490736,Comercio
201809,15490736,Comercio
201810,15490736,Comercio
201808,15491634,Comercio
201807,15491634,Comercio
201806,15491634,Comercio
201805,15491634,Comercio
201803,15491634,Comercio
201804,15491634,Comercio
201802,15491634,Comercio
201801,15491634,Comercio
201810,15491634,Comercio
201809,15491634,Comercio
201812,15491634,Comercio
201811,15491634,Comercio
201801,15494414,Comercio
201802,15494414,Comercio
201804,15494414,Comercio
201803,15494414,Comercio
201805,15494414,Comercio
201806,15494414,Comercio
201807,15494414,Comercio
201808,15494414,Comercio
201811,15494414,Comercio
201812,15494414,Comercio
201809,15494414,Comercio
201810,15494414,Comercio
201808,15497384,Comercio
201807,15497384,Comercio
201806,15497384,Comercio
201805,15497384,Comercio
201803,15497384,Comercio
201804,15497384,Comercio
201802,15497384,Comercio
201801,15497384,Comercio
201810,15497384,Comercio
201809,15497384,Comercio
201812,15497384,Comercio
201811,15497384,Comercio
201801,15498950,Comercio
201802,15498950,Comercio
201804,15498950,Comercio
201803,15498950,Comercio
201805,15498950,Comercio
201806,15498950,Comercio
201807,15498950,Comercio
201808,15498950,Comercio
201811,15498950,Comercio
201812,15498950,Comercio
201809,15498950,Comercio
201810,15498950,Comercio
201808,15502884,Otros
201807,15502884,Otros
201806,15502884,Otros
201805,15502884,Otros
201803,15502884,Otros
201804,15502884,Otros
201802,15502884,Otros
201801,15502884,Otros
201810,15502884,Otros
201809,15502884,Otros
201812,15502884,Otros
201811,15502884,Otros
201801,15505232,Comercio
201802,15505232,Comercio
201804,15505232,Comercio
201803,15505232,Comercio
201805,15505232,Comercio
201806,15505232,Comercio
201807,15505232,Comercio
201808,15505232,Comercio
201811,15505232,Comercio
201812,15505232,Comercio
201809,15505232,Comercio
201810,15505232,Comercio
201808,15506722,Ind. Manufacturera
201807,15506722,Ind. Manufacturera
201806,15506722,Ind. Manufacturera
201805,15506722,Ind. Manufacturera
201803,15506722,Ind. Manufacturera
201804,15506722,Ind. Manufacturera
201802,15506722,Ind. Manufacturera
201801,15506722,Ind. Manufacturera
201810,15506722,Ind. Manufacturera
201809,15506722,Ind. Manufacturera
201812,15506722,Ind. Manufacturera
201811,15506722,Ind. Manufacturera
201801,15547036,Act. Inmob. Emp y Alquiler
201802,15547036,Act. Inmob. Emp y Alquiler
201804,15547036,Act. Inmob. Emp y Alquiler
201803,15547036,Act. Inmob. Emp y Alquiler
201805,15547036,Act. Inmob. Emp y Alquiler
201806,15547036,Act. Inmob. Emp y Alquiler
201807,15547036,Act. Inmob. Emp y Alquiler
201808,15547036,Act. Inmob. Emp y Alquiler
201811,15547036,Act. Inmob. Emp y Alquiler
201812,15547036,Act. Inmob. Emp y Alquiler
201809,15547036,Act. Inmob. Emp y Alquiler
201810,15547036,Act. Inmob. Emp y Alquiler
201808,15554118,Comercio
201807,15554118,Comercio
201806,15554118,Comercio
201805,15554118,Comercio
201803,15554118,Comercio
201804,15554118,Comercio
201802,15554118,Comercio
201801,15554118,Comercio
201810,15554118,Comercio
201809,15554118,Comercio
201812,15554118,Comercio
201811,15554118,Comercio
201801,15554448,"Transp, Almac y Com."
201802,15554448,"Transp, Almac y Com."
201805,15554448,"Transp, Almac y Com."
201806,15554448,"Transp, Almac y Com."
201807,15554448,"Transp, Almac y Com."
201808,15554448,"Transp, Almac y Com."
201811,15554448,"Transp, Almac y Com."
201812,15554448,"Transp, Almac y Com."
201809,15554448,"Transp, Almac y Com."
201810,15554448,"Transp, Almac y Com."
201808,15560038,Comercio
201810,15560038,Comercio
201809,15560038,Comercio
201812,15560038,Comercio
201811,15560038,Comercio
201808,15560042,Comercio
201807,15560042,Comercio
201806,15560042,Comercio
201805,15560042,Comercio
201802,15560042,Comercio
201801,15560042,Comercio
201804,15560042,Comercio
201803,15560042,Comercio
201811,15560042,Comercio
201812,15560042,Comercio
201809,15560042,Comercio
201810,15560042,Comercio
201803,15563660,Construcción
201804,15563660,Construcción
201801,15563660,Construcción
201802,15563660,Construcción
201805,15563660,Construcción
201806,15563660,Construcción
201806,15564516,Ind. Manufacturera
201805,15564516,Ind. Manufacturera
201807,15564516,Ind. Manufacturera
201808,15564516,Ind. Manufacturera
201802,15564516,Ind. Manufacturera
201801,15564516,Ind. Manufacturera
201804,15564516,Ind. Manufacturera
201803,15564516,Ind. Manufacturera
201810,15564516,Ind. Manufacturera
201809,15564516,Ind. Manufacturera
201812,15564516,Ind. Manufacturera
201811,15564516,Ind. Manufacturera
201811,15564522,Comercio
201812,15564522,Comercio
201809,15564522,Comercio
201810,15564522,Comercio
201803,15564536,Act. Inmob. Emp y Alquiler
201804,15564536,Act. Inmob. Emp y Alquiler
201801,15564536,Act. Inmob. Emp y Alquiler
201808,15564536,Act. Inmob. Emp y Alquiler
201807,15564536,Act. Inmob. Emp y Alquiler
201805,15564536,Act. Inmob. Emp y Alquiler
201806,15564536,Act. Inmob. Emp y Alquiler
201810,15564536,Act. Inmob. Emp y Alquiler
201809,15564536,Act. Inmob. Emp y Alquiler
201812,15564536,Act. Inmob. Emp y Alquiler
201811,15564536,Act. Inmob. Emp y Alquiler
201806,15576234,Comercio
201805,15576234,Comercio
201807,15576234,Comercio
201808,15576234,Comercio
201801,15576234,Comercio
201802,15576234,Comercio
201804,15576234,Comercio
201803,15576234,Comercio
201811,15576234,Comercio
201812,15576234,Comercio
201809,15576234,Comercio
201810,15576234,Comercio
201801,15576280,Otros
201801,15582334,"Transp, Almac y Com."
201802,15582334,"Transp, Almac y Com."
201803,15582334,"Transp, Almac y Com."
201804,15582334,"Transp, Almac y Com."
201808,15582334,"Transp, Almac y Com."
201807,15582334,"Transp, Almac y Com."
201805,15582334,"Transp, Almac y Com."
201806,15582334,"Transp, Almac y Com."
201810,15582334,"Transp, Almac y Com."
201809,15582334,"Transp, Almac y Com."
201812,15582334,"Transp, Almac y Com."
201811,15582334,"Transp, Almac y Com."
201806,15584582,Comercio
201805,15584582,Comercio
201807,15584582,Comercio
201808,15584582,Comercio
201804,15584582,Comercio
201803,15584582,Comercio
201802,15584582,Comercio
201801,15584582,Comercio
201811,15584582,Comercio
201812,15584582,Comercio
201809,15584582,Comercio
201810,15584582,Comercio
201801,15584620,Comercio
201802,15584620,Comercio
201803,15584620,Comercio
201804,15584620,Comercio
201808,15584620,Comercio
201807,15584620,Comercio
201805,15584620,Comercio
201806,15584620,Comercio
201810,15584620,Comercio
201809,15584620,Comercio
201812,15584620,Comercio
201811,15584620,Comercio
201811,15588876,Act. Inmob. Emp y Alquiler
201812,15588876,Act. Inmob. Emp y Alquiler
201805,15600566,Minería
201803,15600566,Minería
201802,15600566,Minería
201802,15604740,Act. Inmob. Emp y Alquiler
201801,15604740,Act. Inmob. Emp y Alquiler
201803,15604740,Act. Inmob. Emp y Alquiler
201804,15604740,Act. Inmob. Emp y Alquiler
201805,15604740,Act. Inmob. Emp y Alquiler
201806,15604740,Act. Inmob. Emp y Alquiler
201807,15604740,Act. Inmob. Emp y Alquiler
201808,15604740,Act. Inmob. Emp y Alquiler
201812,15604740,Act. Inmob. Emp y Alquiler
201811,15604740,Act. Inmob. Emp y Alquiler
201809,15604740,Act. Inmob. Emp y Alquiler
201810,15604740,Act. Inmob. Emp y Alquiler
201808,15605450,Ind. Manufacturera
201807,15605450,Ind. Manufacturera
201806,15605450,Ind. Manufacturera
201805,15605450,Ind. Manufacturera
201804,15605450,Ind. Manufacturera
201803,15605450,Ind. Manufacturera
201801,15605450,Ind. Manufacturera
201802,15605450,Ind. Manufacturera
201810,15605450,Ind. Manufacturera
201809,15605450,Ind. Manufacturera
201811,15605450,Ind. Manufacturera
201812,15605450,Ind. Manufacturera
201802,15605558,Comercio
201801,15605558,Comercio
201803,15605558,Comercio
201804,15605558,Comercio
201805,15605558,Comercio
201806,15605558,Comercio
201807,15605558,Comercio
201808,15605558,Comercio
201812,15605558,Comercio
201811,15605558,Comercio
201809,15605558,Comercio
201810,15605558,Comercio
201808,15605628,Construcción
201807,15605628,Construcción
201806,15605628,Construcción
201805,15605628,Construcción
201804,15605628,Construcción
201803,15605628,Construcción
201801,15605628,Construcción
201802,15605628,Construcción
201810,15605628,Construcción
201809,15605628,Construcción
201811,15605628,Construcción
201812,15605628,Construcción
201802,15607018,Comercio
201801,15607018,Comercio
201803,15607018,Comercio
201804,15607018,Comercio
201805,15607018,Comercio
201806,15607018,Comercio
201807,15607018,Comercio
201808,15607018,Comercio
201812,15607018,Comercio
201811,15607018,Comercio
201809,15607018,Comercio
201810,15607018,Comercio
201808,15609046,Hoteles y Restaurantes
201807,15609046,Hoteles y Restaurantes
201806,15609046,Hoteles y Restaurantes
201805,15609046,Hoteles y Restaurantes
201804,15609046,Hoteles y Restaurantes
201803,15609046,Hoteles y Restaurantes
201801,15609046,Hoteles y Restaurantes
201802,15609046,Hoteles y Restaurantes
201810,15609046,Hoteles y Restaurantes
201809,15609046,Hoteles y Restaurantes
201811,15609046,Hoteles y Restaurantes
201812,15609046,Hoteles y Restaurantes
201812,15612808,Ind. Manufacturera
201811,15612808,Ind. Manufacturera
201809,15612808,Ind. Manufacturera
201810,15612808,Ind. Manufacturera
201807,15614846,Ind. Manufacturera
201808,15614846,Ind. Manufacturera
201810,15614846,Ind. Manufacturera
201809,15614846,Ind. Manufacturera
201811,15614846,Ind. Manufacturera
201812,15614846,Ind. Manufacturera
201808,15614898,Comercio
201807,15614898,Comercio
201805,15614898,Comercio
201806,15614898,Comercio
201802,15614898,Comercio
201801,15614898,Comercio
201803,15614898,Comercio
201804,15614898,Comercio
201812,15614898,Comercio
201811,15614898,Comercio
201809,15614898,Comercio
